sector,total_deals,n_accounts,deals_won,crm_revenue,avg_deal_size
employment,311,4,179,436174.0,2436.72625698324
entertainment,451,6,260,689007.0,2650.026923076923
finance,678,8,375,950908.0,2535.7546666666667
marketing,674,8,404,922321.0,2282.9727722772277
medical,1051,12,592,1359595.0,2296.613175675676
retail,1397,17,799,1867528.0,2337.331664580726
services,390,5,223,533006.0,2390.1614349775787
software,757,7,450,1077934.0,2395.4088888888887
technolgy,1165,12,671,1515487.0,2258.5499254843517
telecommunications,501,6,285,653574.0,2293.242105263158
